train_size_category,test_roc_auc,test_balanced_accuracy,fold-site,classifier,feature_type,atlas,dataset
500,0.6894736842105263,0.6309210526315789,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6795665634674922,0.6540247678018576,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.7487654320987654,0.6805555555555556,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.7254901960784315,0.8235294117647058,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6892230576441103,0.656328320802005,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6376811594202899,0.538647342995169,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6914285714285715,0.6664285714285715,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7101648351648352,0.646978021978022,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7021604938271605,0.7083333333333333,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.6780538302277433,0.6594202898550725,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7539682539682541,0.7261904761904763,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.6618589743589743,0.5809294871794872,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7046052631578947,0.5927631578947368,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.6787925696594428,0.6509287925696594,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.808641975308642,0.6861111111111111,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7254901960784315,0.8235294117647058,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.7199248120300752,0.7180451127819549,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.6231884057971014,0.5048309178743962,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
600,0.66,0.6485714285714286,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6923076923076923,0.6456043956043955,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6898148148148148,0.6736111111111112,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7132505175983437,0.6614906832298137,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7698412698412699,0.75,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6706730769230769,0.5825320512820513,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7078947368421052,0.6440789473684211,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6826625386996904,0.6408668730650156,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7845679012345679,0.6722222222222223,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7058823529411765,0.7352941176470589,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.7387218045112781,0.6914160401002506,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
